iter	Logloss
0	0.6627205693
1	0.6332298745
2	0.6086593718
3	0.5835629074
4	0.5612980769
5	0.5402652658
6	0.5236540725
7	0.5017536171
8	0.4841738368
9	0.4691353822
10	0.4533146063
11	0.4375010835
12	0.4235710129
13	0.4096774792
14	0.3979369997
15	0.3869709564
16	0.3785838592
17	0.3676848402
18	0.3565406273
19	0.3455678123
20	0.3360660711
21	0.3272092921
22	0.3193839109
23	0.3124031202
24	0.3031457303
25	0.2948864216
26	0.2885045761
27	0.2815346201
28	0.2754270113
29	0.2699285202
30	0.2639145108
31	0.2581201437
32	0.2529146695
33	0.2478231246
34	0.2439469558
35	0.2391153219
36	0.2334215665
37	0.2292762169
38	0.2260044105
39	0.2230345897
40	0.219541561
41	0.216865374
42	0.2132286057
43	0.2108838384
44	0.2078909488
45	0.2050682233
46	0.2029883481
47	0.2011357595
48	0.1977345393
49	0.1945137159
50	0.1927969065
51	0.1906205879
52	0.1887650048
53	0.1868304492
54	0.1845064784
55	0.1825446556
56	0.1814341498
57	0.1799778233
58	0.1782876641
59	0.1766466671
60	0.1753238174
61	0.1744541266
62	0.1734003372
63	0.1723302055
64	0.1716274585
65	0.1705746622
66	0.1694925974
67	0.168262429
68	0.1672893276
69	0.1663379857
70	0.1652672672
71	0.1644229024
72	0.1635308049
73	0.16243464
74	0.1617730797
75	0.1609233427
76	0.1602379613
77	0.159304617
78	0.1585100765
79	0.1573231413
80	0.156733195
81	0.1561670247
82	0.155358986
83	0.1548475608
84	0.1540164684
85	0.153418667
86	0.1526960866
87	0.1520684297
88	0.1513799934
89	0.1506433431
90	0.150150126
91	0.1494003386
92	0.1488541221
93	0.1481583575
94	0.147690662
95	0.1470170331
96	0.1463487162
97	0.1456452018
98	0.1448991463
99	0.1442632431
100	0.1437508848
101	0.1434017836
102	0.1429292427
103	0.1425710223
104	0.1421394273
105	0.1419806095
106	0.1414173886
107	0.1408100918
108	0.1402042109	109	0.1397203110	0.1417842767
111	0.1413124431
112	0.1409873887
113	0.1404855943
114	0.1398830075
115	0.1393911147
116	0.1390106382
117	0.1386207265
118	0.1381529708
119	0.1377233923
120	0.1372318606
121	0.1368272168
122	0.1364059147
123	0.1361118445
124	0.1358582386
125	0.1355656731
126	0.13529887
127	0.1347756771
128	0.1345370742
129	0.1342121854
130	0.1337405173
131	0.1333762175
132	0.1330367922
133	0.1326355041
134	0.1322303938
135	0.1317933814
136	0.1313996324
137	0137	0.128043138	0138	0.127741139	0139	0.127342140	0140	0.127018141	0141	0.1266940867
142	0.1263733512
143	0.1260831483
144	0.1256773533
145	0.1253753752
146	0.1251876726
147	0.1249279571
148	0.1246107128
149	0.1243651426
150	0.1241089484
151	0.123873784
152	0.1233250545
153	0.1230299534
154	0.1227770021
155	0.1224685759
156	0.122280482
157	0.1221201594
158	0.1218124329
159	0.1216370246
160	0.1214415571
161	0.1212920089
162	0.1210204205
163	0.1207160724
164	0.1204616539
165	0.1202742296
166	0.1201316487
167	0.1199093429
168	0.1196202912
169	0.1193512159
170	0.1190814332
171	0.1188997799
172	0.1185737023
173	0.1183753004
174	0.1181236282
175	0.1179474449
176	0.1178265784
177	0.11760501
178	0.1173479656
179	0.1171775306
180	0.1168158115
181	0.1165698877
182	0.1162301539
183	0.1160391783
184	0.1158267817
185	0.1156044383
186	0.1154678616
187	0.1152888116
188	0.1149753217
189	0.1147245148
190	0.1145319515
191	0.1144003558
192	0.1142706862
193	0.1140906806
194	0.1139141286
195	0.1137545809
196	0.1133983243
197	0.1130931486
198	0.1128549971
199	0.1125278511
200	0.1124316936
201	0.1121626182
