iter	Logloss
0	0.642799658
1	0.5942628835
2	0.5495659798
3	0.5262621719
4	0.5072496445
5	0.4835856972
6	0.4669980176
7	0.4607658527
8	0.4389701502
9	0.4327214067
10	0.4282752309
11	0.4270847829
12	0.3993748365
13	0.3795975176
14	0.3611463839
15	0.350604727
16	0.3434103267
17	0.3367766847
18	0.3339823975
19	0.3219691081
20	0.3066793702
21	0.3008436413
22	0.2974929336
23	0.2938349145
24	0.2933354421
25	0.290532385
26	0.2883184159
27	0.2841631142
28	0.2826753528
29	0.2785955947
30	0.2774676402
31	0.2743499044
32	0.274315747
33	0.2693886568
34	0.2675220795
35	0.2635379125
36	0.260944306
37	0.2586464878
38	0.2531725142
39	0.2530306121
40	0.250934127
41	0.2482636302
42	0.2460151493
43	0.2383148156
44	0.2326939061
45	0.2322828445
46	0.226863186
47	0.2235419018
48	0.2217144449
49	0.2199050453
50	0.2179821036
51	0.2144473451
52	0.2123489012
53	0.2109585933
54	0.2084382046
55	0.2074285972
56	0.2038527405
57	0.203563007
58	0.2028129252
59	0.1976367451
60	0.1949537208
61	0.1947630554
62	0.1888496387
63	0.1862513482
64	0.182575225
65	0.1790224979
66	0.1769500831
67	0.1732944386
68	0.1706710598
69	0.1683476778
70	0.1652312652
71	0.1634380007
72	0.1629713114
73	0.1625331822
74	0.1591222915
75	0.158660273
76	0.1550108851
77	0.1546206615
78	0.1521447319
79	0.1495824157
80	0.147228596
81	0.1437625663
82	0.140604864
83	0.1394151658
84	0.1354673623
85	0.1344305115
86	0.1328806862
87	0.132163291
88	0.1288146811
89	0.1284401729
90	0.1259165384
91	0.1240605645
92	0.1232447714
93	0.1230359473
94	0.1200973317
95	0.1198009363
96	0.1173749961
97	0.1149794997
98	0.1142943439
99	0.1123971919
100	0.1110788229
101	0.1090856542
102	0.1079097146
103	0.1074614468
104	0.1072398673
105	0.1051261177
106	0.1040988882
107	0.1022957838
108	0.09936606419
109	0.09633473326
110	0.09468103706
111	0.09367243881
112	0.09219910217
113	0.09206218888
114	0.09089270347
115	0.08902656942
116	0.08872453601
117	0.0868388483
118	0.08469372192
119	0.0838256479
120	0.08370478014
121	0.08357804831
122	0.08234985101
123	0.08162420658
124	0.08152902833
125	0.07924519467
126	0.07876649407
127	0.07759679256
128	0.07705833262
129	0.07541071492
