iter	Passed	Remaining
400	27756	664426
401	27826	664372
402	27897	664351
403	27970	664364
404	28035	664193
405	28101	664045
406	28163	663802
407	28231	663713
408	28303	663706
409	28366	663496
410	28434	663405
411	28503	663328
412	28562	663023
413	28633	662999
414	28702	662921
415	28763	662668
416	28832	662585
417	28898	662449
418	28963	662290
419	29030	662171
420	29097	662045
421	29165	661968
422	29230	661808
423	29302	661793
424	29369	661668
425	29429	661402
426	29493	661225
427	29561	661131
428	29625	660947
429	29688	660750
430	29762	660783
431	29831	660706
432	29901	660669
433	29962	660427
434	30026	660240
435	30099	660252
436	30162	660055
437	30230	659953
438	30305	660035
439	30378	660041
440	30445	659924
441	30512	659813
442	30586	659849
443	30659	659871
444	30728	659800
445	30793	659646
446	30856	659445
447	30921	659292
448	30992	659271
449	31063	659240
450	31131	659137
451	31197	659011
452	31265	658913
453	31325	658659
454	31398	658671
455	31461	658482
456	31527	658361
457	31597	658302
458	31668	658272
459	31737	658214
460	31804	658104
461	31866	657892
462	31925	657606
463	31996	657574
464	32070	657610
465	32138	657535
466	32208	657483
467	32286	657600
468	32356	657549
469	32426	657506
470	32493	657387
471	32561	657298
472	32633	657291
473	32694	657059
474	32765	657027
475	32828	656836
476	32894	656709
477	32959	656568
478	33029	656518
479	33095	656401
480	33179	656626
481	33253	656657
482	33324	656620
483	33393	656564
484	33467	656576
485	33547	656724
486	33618	656701
487	33685	656599
488	33773	656895
489	33839	656755
490	33909	656708
491	33979	656651
492	34049	656605
493	34114	656453
494	34182	656375
495	34251	656303
496	34315	656143
497	34376	655907
498	34442	655789
499	34500	655510
500	34574	655534
501	34646	655513
502	34713	655409
503	34778	655270
504	34843	655129
505	34918	655164
506	34992	655203
507	35072	655338
508	35145	655340
509	35230	655569
510	35314	655765
511	35393	655893
512	35474	656035
513	35565	656362
514	35647	656539
515	35715	656450
516	35785	656388
517	35852	656279
518	35921	656211
519	35990	656125
520	36058	656051
521	36124	655917
522	36191	655803
523	36262	655771
524	36332	655723
525	36396	655555
526	36466	655506
527	36523	655217
528	36589	655087
529	36660	655054
530	36730	654994
531	36802	654969
532	36866	654818
533	36940	654836
534	37016	654874
535	37084	654787
536	37150	654669
537	37214	654506
538	37285	654473
539	37349	654301
540	37417	654210
541	37493	654266
542	37562	654204
543	37631	654117
544	37704	654125
545	37771	654019
546	37837	653898
547	37910	653893
548	37978	653795
549	38048	653748
550	38115	653635
551	38187	653611
552	38260	653608
553	38327	653507
554	38388	653303
555	38458	653239
556	38526	653146
557	38583	652874
558	38657	652890
559	38731	652898
560	38799	652816
561	38870	652772
562	38944	652784
563	39013	652719
564	39079	652589
565	39140	652383
566	39206	652272
567	39272	652147
568	39342	652090
569	39412	652029
570	39480	651949
571	39543	651778
572	39611	651694
573	39680	651618
574	39750	651562
575	39812	651372
576	39876	651223
577	39934	650979
578	39998	650822
579	40066	650741
580	40133	650634
581	40202	650566
582	40266	650411
583	40331	650270
584	40397	650164
585	40468	650113
586	40529	649916
587	40601	649897
588	40667	649786
589	40731	649631
590	40801	649572
591	40866	649440
592	40932	649326
593	40999	649225
594	41064	649089
595	41133	649030
596	41204	648982
597	41269	648849
598	41334	648724
599	41402	648639
600	41475	648626
601	41541	648516
602	41607	648394
603	41673	648282
604	41749	648319
605	41816	648224
606	41889	648212
607	41961	648189
608	42021	647992
609	42093	647960
610	42158	647837
611	42225	647730
612	42289	647587
613	42355	647471
614	42427	647446
615	42501	647457
616	42564	647296
617	42633	647230
618	42707	647238
619	42766	647010
620	42826	646807
621	42902	646843
622	42974	646817
623	43042	646741
624	43114	646713
625	43181	646611
626	43251	646571
627	43319	646478
628	43381	646310
629	43450	646234
630	43523	646226
631	43589	646114
632	43655	646003
633	43724	645936
634	43794	645877
635	43861	645784
636	43930	645722
637	43996	645602
638	44066	645543
639	44127	645363
640	44196	645291
641	44264	645207
642	44336	645191
643	44409	645182
644	44477	645101
645	44550	645083
646	44621	645052
647	44686	644918
648	44753	644818
649	44830	644875
650	44908	644932
651	44976	644844
652	45044	644767
653	45109	644643
654	45183	644640
655	45255	644619
656	45321	644502
657	45389	644414
658	45457	644332
659	45525	644257
660	45599	644251
661	45662	644105
662	45734	644077
663	45795	643897
664	45859	643751
665	45926	643660
666	45996	643601
667	46055	643398
668	46121	643284
669	46193	643261
670	46261	643174
671	46324	643033
672	46394	642973
673	46462	642892
674	46532	642842
675	46599	642741
676	46667	642666
