职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
BI data analyst 数据分析主管,1.3万-1.7万,上海-浦东新区,3-5年,本科,"['SQL', '社交类产品', '工具类产品', '媒体类产品']",亚伺贸易(上海)有限公司,外商独资 ,20-99人 
BI工程师,1.7万-3万,上海-静安区,3-5年,本科,"['SQL', 'Hadoop']",上海宝尊电子商务有限公司,上市公司 ,1000-9999人 
数据管理员,5千-9千,上海-浦东新区,1-3年,本科,"['医学', '英语', '生物医疗']",凯莱英生命科学技术（天津）有限公司,合资 ,1000-9999人 
数字化业务分析师,2万-4万,上海-静安区,5-10年,本科,"['Power-BI', 'ALICLOUD', 'MAR-TECH']",荟才环球企业咨询(北京)有限公司,外商独资 ,300-499人 
瑞典汽车品牌—用户数据项目经理（CRM）,2万-2.5万,上海-虹口区,1-3年,本科,"['数据分析', 'SQL', 'CRM用户运营', '数据库', '数据挖掘']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
汽车数据分析工程师,2万-3.5万,上海-嘉定区,3-5年,本科,"['数据分析', '数据挖掘', 'SQL', '运营数据分析']",上海机动车检测认证技术研究中心有限公司,国企 ,500-999人 
2021数据治理岗（高级）,面议,上海,5-10年,本科,"['数据采集', '数据治理']",东方航空,股份制企业 ,10000人以上 
内部审计（数据化审计方向）,1.5万-2万,上海,1-3年,本科,"['数据分析', '大数据分析', 'SQL', 'SQL Server', '舆情分析', '市场数据分析', '运营数据分析', '电商数据分析']",西域供应链（上海）有限公司,合资 ,500-999人 
数据分析师,1.5万-3万,上海-静安区,3-5年,本科,"['SQL', 'SPSS', 'Python', 'MODELER', 'R']",北京睿和良木管理咨询有限公司,民营 ,500-999人 
SAP业务数据-嘉吉粮油,1.5万-2万,上海-徐汇区,不限,本科,"['数据统计分析', '数据清理', '数据转换', 'SAP实施', 'excel', '英语', '嘉吉']",科锐国际,合资 ,1000-9999人 
MD-数据统计,1万-1.5万,上海-长宁区,3-5年,本科,"['IVD', '医疗器械', '体外诊断', '临床数据分析']",康龙化成(成都)临床研究服务有限公司,合资 ,10000人以上 
crm专员,8千-9千,上海-浦东新区,1-3年,本科,['excel'],万宝盛华企业管理咨询(上海)有限公司浦东分公司,合资 ,1000-9999人 
·调查评估部·研究员,1.1万-1.3万,上海-黄浦区,不限,硕士,"['政府战略', '产业规划', '数据分析', '问卷设计', '经济学', 'SPSS']",上海华略智库集团有限公司,民营 ,
数据管理员,1.2万-2万,上海-浦东新区,1-3年,本科,['DM'],泽璟制药,合资 ,500-999人 
数据分析师,1.8万-2.5万,上海-浦东新区,3-5年,本科,"['回归分析', '决策树', '多元统计分析', '因子分析', '聚类分析', '参数检验', '相关分析', '效度分析']",上海威田资产管理有限公司,民营 ,500-999人 
临床数据管理员,1.5万-3万,上海-静安区,1-3年,本科,['CRF设计'],北京海金格医药科技股份有限公司,民营 ,500-999人 
咨询分析师/金融项目助理/碳资产/碳服务,5千-1万,上海-宝山区,不限,本科,"['行业分析', '量化分析', '碳交易', '市场分析']",上海荣冶工程技术有限公司,民营 ,300-499人 
分析经理,6万-8万,上海-青浦区,5-10年,本科,"['相关分析', '因子分析', '多元统计分析']",银科控股,外商独资 ,1000-9999人 
数据可视化开发主管,1.5万-2万,上海,不限,学历不限,"['SQL', 'Python', 'Pandas', 'Tableau', '方差分析']",上海锐力健身装备有限公司,合资 ,1000-9999人 
人保科技-研发中心-信息技术类条线-数据岗（数据开发方向）-科技专项招聘(J47289),1.5万-3万,上海-长宁区,1-3年,硕士,"['ETL', 'Java', 'Python', 'Perl']",人保信息科技有限公司,国企 ,500-999人 
运营助理/专员,8千-1.5万,上海-浦东新区,1-3年,大专,"['行业分析', '需求分析']",邻汇吧,股份制企业 ,100-299人 
数据分析师,1.5万-2万,上海-杨浦区,5-10年,本科,"['描述统计', '相关分析']",上海吉贝克信息技术有限公司,民营 ,500-999人 
数据分析经理（治理方向）,1.6万-3万,上海-浦东新区,3-5年,本科,"['数据分析', '数据集市', '数据挖掘', 'BI']",上海交银信息数据有限公司,国企 ,1000-9999人 
证券研究员，证券分析师,9千-1.5万,上海,1-3年,本科,"['宏观分析', '行业研究', '投资分析']",上海沃珑港投资管理合伙企业(有限合伙),民营 ,20人以下 
高级商业数据分析师,1.7万-3万,上海-黄浦区,3-5年,硕士,"['金融', 'SQL', '生活服务/O2O', 'Power-BI', '平台类产品', '社区类产品', '线下零售', '文娱/游戏']",湖南柠友餐饮管理有限公司,民营 ,500-999人 
sas程序员,1.5万-3万,上海-徐汇区,不限,本科,"['SAS', '医学']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 
数据分析师（医药类）,1万-2万,上海,1-3年,本科,"['EMA', '药学', '临床医学', '生物科技', 'FDA认证', 'CFDA认证', 'NMPA']",上海柯林布瑞信息技术有限公司,民营 ,100-299人 
sas程序员(SAS Programer),2.5万-5万,上海-黄浦区,3-5年,本科,"['SAS', 'SDTM', 'ADAM', 'SAS程序']",爱恩康临床医学研究(北京)有限公司,外商独资 ,10000人以上 
数据治理工程师,1.1万-2万,上海-浦东新区,3-5年,大专,"['SQL', '数据架构', 'DMBOK数据治理']",申朴信息,民营 ,500-999人 
市场分析高级经理,1.5万-2.5万,上海,3-5年,本科,"['市场营销', '策划', '行业研究', '市场研究', '企业调研', '定量研究', '定性研究', '市场信息收集']",贵酿酒业,民营 ,1000-9999人 
临床数据管理,1万-2万,上海-徐汇区,1-3年,本科,"['DM', '临床数据管理']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 
需求分析师-数据中台 (MJ000451),1.5万-3万,上海-浦东新区,3-5年,本科,['估值核算'],赢时胜,民营 ,1000-9999人 
统计编程员（SP）-上海,6千-1万,上海,不限,本科,"['SAS', 'SPSS']",北京科林利康医学研究有限公司,民营 ,500-999人 
Admin Assistant- Shanghai,8千-1.5万,上海-静安区,3-5年,本科,['医疗健康'],晖致医药有限公司,外商独资 ,10000人以上 
BI工程师,1.5万-2.5万,上海,3-5年,本科,"['BI', 'FineReport', '报表开发', '帆软报表']",上海轩田工业设备有限公司,民营 ,100-299人 
数据分析师,1.8万-2.2万,上海-浦东新区,1-3年,硕士,"['SQL', 'Python']",上海晨钦信息科技服务有限公司, ,
数据分析 线上运营 地铁口 门店销售合理利用VR高科技 上市公司,8千-1.6万,上海,不限,本科,"['物联网', '房地产', '物业服务', '贷款行业', '银行', '投资/理财', '面销', '电销']",上海链家地产,民营 ,10000人以上 
大气环境数据分析专家,2万-3万,上海-闵行区,5-10年,博士,"['环境检测', '环境工程', '环境评估', '环境科学与工程', '数据研判', '大气管控']",磐合科仪,股份制企业 ,100-299人 
临床数据分析师,1.5万-3万,上海-浦东新区,1-3年,本科,"['SAS', '生物统计学']",宁波熙宁检测技术有限公司,民营 ,100-299人 
高级临床数据管理(DM Lead),1.5万-2.5万,上海-静安区,3-5年,本科,"['CRF设计', 'SQL', '英语', '临床数据管理', 'DM', 'SDTM']",外企德科,合资 ,1000-9999人 
数据分析师,1.5万-2.3万,上海-浦东新区,1-3年,硕士,"['Python', 'SQL', '数据分析']",上海晨钦信息科技服务有限公司, ,
Lead Data Management（临床数据主管）,2万-4万,上海-黄浦区,5-10年,本科,"['LDM', '临床数据', 'DM', 'CDC']",爱恩康临床医学研究(北京)有限公司,外商独资 ,10000人以上 
生物统计/编程/数据管理等,3万-6万,上海-徐汇区,不限,本科,"['生物统计学', '生物医疗', 'SQL', 'SAS', '数据管理']",上海沛生企业管理中心,合资 ,20-99人 
临床试验数据统计师,9千-1.4万,上海-长宁区,不限,硕士,"['SAS', '生物统计学', '流行病学', 'R语言']",诺思格(北京)医药科技股份有限公司,合资 ,1000-9999人 
BI工程师,1.4万-1.8万,上海-浦东新区,5-10年,大专,"['帆软', 'Oracle', 'MySQL', 'FineBI']",易迪信(北京)科技有限公司,民营 ,100-299人 
临床数据管理DM Lead,2万-2.8万,上海-浦东新区,3-5年,本科,"['DM', 'CRF']",IQVIA 艾昆纬,外商独资 ,10000人以上 
大数据开发工程师,2.1万-3万,上海-浦东新区,3-5年,大专,"['Python', 'Django', 'Flask', 'MySQL', 'Redis']",原子猫科技(北京)有限公司,民营 ,20-99人 
bi实施顾问,1.2万-1.7万,上海-普陀区,3-5年,大专,"['BI', 'BI实施', '数据分析', 'SQL', 'SQL Server']",北京数钥科技有限公司,民营 ,20-99人 
数据库管理DM,1万-1.5万,上海-徐汇区,不限,本科,['DM'],零氪信息技术(北京)有限公司,民营 ,1000-9999人 
生物统计师(J11367),1万-1.5万,上海-浦东新区,无经验,硕士,['生物统计学'],北京高博医院管理有限公司,民营 ,1000-9999人 
tableau开发,1.6万-2.5万,上海-杨浦区,3-5年,本科,"['运维', '数据分析', 'BI', 'Tableau']",掘新科技(上海)有限公司,民营 ,100-299人 
数据治理,2万-2.4万,上海,3-5年,本科,['数据治理'],中汇信息,国企 ,500-999人 
数据分析师,1.5万-3万,上海-嘉定区,3-5年,本科,"['Java', 'Shell', '回归分析', '聚类分析']",上海骅众信息技术有限公司,民营 ,100-299人 
美股 H股500强企，数据分析的问题方案专家,1.2万-1.8万,上海-徐汇区,不限,本科,"['贷款行业', '房地产', '教育培训', '财务咨询', '个人客户', '不出差']",上海链家地产,民营 ,10000人以上 
商品专员/助理,5千-6千,上海-静安区,1年以下,大专,"['数据分析', '销售业务数据', '统计学']",上海言逊商贸有限公司,民营 ,20-99人 
Data Scientist Manager 数据分析经理,3万-5万,上海-浦东新区,5-10年,本科,"['SQL', 'Python', '大数据分析']",玛泽咨询(上海)有限公司,其它 ,100-299人 
sas程序员,1.5万-2.4万,上海-徐汇区,1-3年,本科,"['生物统计学', '流行病学']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 
产销协调主管（管理岗）,1.5万-2.5万,上海-闵行区,5-10年,大专,"['产销协调', '数据分析', '运营管理']",旺旺集团,上市公司 ,10000人以上 
催收系统岗,1.5万-2.8万,上海-黄浦区,5-10年,本科,['SQL'],众安在线财产保险股份有限公司,股份制企业 ,1000-9999人 
金融业务分析师,1.4万-2.8万,上海-杨浦区,5-10年,本科,"['行业分析', '经济分析', '技术面分析', 'IT/互联网', '银行数据分析', '融资租赁数据分析', '保险数据分析', '投融资数据分析']",上海吉贝克信息技术有限公司,民营 ,500-999人 
数据开发工程师,1.8万-3.5万,上海-松江区,3-5年,硕士,"['Java', 'Python', 'Shell', 'SQL']",智联猎头,上市公司 ,1000-9999人 
量化研究员,4万-6万,上海-徐汇区,无经验,硕士,"['物理、数学', '量化分析', 'Python', '股票市场', '基金市场']",蓝泉(徐州)信息科技有限公司,民营 ,100-299人 
SAS程序员（上海）,1万-2万,上海-静安区,1-3年,本科,"['SAS', '医学', '流行病学', '英语']",北京海金格医药科技股份有限公司,民营 ,500-999人 
商业分析师,2万-3万,上海-徐汇区,5-10年,本科,"['运营管理咨询', '数据分析', '商业运营', '战略规划', '业务洞察', '市场研究', '企业调研', '咨询经理/主管']",上海复宏汉霖生物技术有限公司,合资 ,1000-9999人 
高级大数据开发工程师&ETL工程师,面议,上海-浦东新区,3-5年,本科,"['大数据开发', 'ETL', 'Spark', 'SQL', 'Hive', 'Flink', 'Hadoop', 'Scala']",文思海辉技术有限公司 Pactera Technology International Limited,国企 ,10000人以上 
临床数据管理经理 DM,2万-4万,上海-徐汇区,3-5年,本科,"['医学', 'SAS', '英语', '数据库构建', '数据挖掘', '药物研究', '数据建模']",北京加科思新药研发有限公司,上市公司 ,300-499人 
SAS/R程序员,9千-1.6万,上海-长宁区,不限,硕士,"['SAS', '流行病学', '生物统计学', 'R语言']",诺思格(北京)医药科技股份有限公司,合资 ,1000-9999人 
数据管理项目经理,1.5万-2万,上海-徐汇区,3-5年,大专,"['医学', '临床试验', '医药科研']",圣方(上海)医药研发有限公司,合资 ,300-499人 
数据总监,2.5万-4万,上海,5-10年,本科,"['数据仓库', 'BI', '数据分析', 'AWS']",上海比孚信息科技有限公司,民营 ,100-299人 
JJ9DNQ8-总行网络金融部数据分析岗,面议,上海-浦东新区,3-5年,本科,['金融投资产品经理'],上海农商银行,国企 ,1000-9999人 
销售运营 —专业分析--数据分析,8千-1.6万,上海-闵行区,不限,本科,"['电销', '网络销售', '店面销售', '面销', '个人客户', '渠道销售', '房地产', '贷款行业']",上海链家地产,民营 ,10000人以上 
临床数据分析师,1.5万-3万,上海-浦东新区,1-3年,本科,"['SAP', '临床试验', '统计分析', 'SAS', 'WINNONLIN', 'PK统计分析报告']",上海精翰生物科技有限公司,民营 ,100-299人 
药企会务数据分析（GSK）,1万-1.5万,上海,5-10年,本科,['数据分析'],东浩人力资源,国企 ,100-299人 
数据运营经理,1.5万-2万,上海-虹口区,5-10年,大专,['SQL'],上海米链信息技术有限公司,民营 ,100-299人 
SAS（高级）程序员（经理）,1.5万-2.5万,上海-浦东新区,1-3年,本科,"['SDTM', 'ADAM', 'SAS', 'TFLS']",海思科医药,民营 ,1000-9999人 
"Manager, Data Management (MJ000031)",2万-4万,上海-徐汇区,5-10年,本科,"['DM', 'CRO']",和铂医药,港澳台公司 ,100-299人 
链家招聘+销售底薪10K+线上数据分析,1.1万-1.9万,上海,不限,本科,"['O2O', '房地产', '物业服务', '电销', '面销', '网络销售', '渠道销售', '个人客户']",上海链家地产,民营 ,10000人以上 
数据产品leader,面议,上海-杨浦区,3-5年,本科,[],北京三快在线科技有限公司,上市公司 ,1000-9999人 
数据分析师-上海,1万-2万,上海-徐汇区,不限,硕士,"['行业研究', '市场研究', '定量研究', '定性研究', '咨询顾问']",零氪信息技术(北京)有限公司,民营 ,1000-9999人 
sas programmer,1.5万-2.5万,上海-浦东新区,3-5年,硕士,['临床数据分析'],北京锐得麦医药科技有限公司,外商独资 ,20-99人 
商品量化策略研发 (MJ001560),1万-2万,上海,1-3年,硕士,"['金融', '期货数据分析', '投融资数据分析']",上海东证期货有限公司,国企 ,500-999人 
数据库开发工程师,1.5万-3万,上海-徐汇区,1-3年,本科,"['数据库开发', '架构设计', '数据架构', '数据分析']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 
临床数据管理经理,2万-3.5万,上海-静安区,5-10年,本科,"['DM', '临床数据管理', '数据协调', 'DATA MANAGEMENT', '临床数据分析']",上海有临医药科技有限公司,民营 ,500-999人 
遗传分析师,1万-2万,上海-浦东新区,不限,硕士,"['遗传学', '二代测序', '分子生物学', '临床医学']",金域医学,上市公司 ,10000人以上 
统计师,1.1万-1.5万,上海-长宁区,1-3年,硕士,"['SAR', 'SAP']",明智医疗科技(上海)有限公司,民营 ,20-99人 
高级数据分析师,1.5万-2万,上海-静安区,5-10年,本科,"['需求对接', '项目管理']",上海得逸信息技术有限公司,民营 ,1000-9999人 
产业大数据高级顾问,1.5万-2.3万,上海-宝山区,5-10年,本科,"['产业园区', '智慧园区', '大数据']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 
上市公司贝壳+销售管培+网络运营+数据分析,8千-1.5万,上海-徐汇区,不限,本科,"['管培生', '网络推广', '渠道推广', '市场分析', '数据分析', '大学四级', '二手房/新房']",上海链家地产,民营 ,10000人以上 
5.0经纪人，社区专家+线上数据分析，综合型销售,8千-1.5万,上海-闵行区,不限,本科,"['电子商务', '房地产', '物业服务', '互联网金融', '贷款行业', '网络销售', '渠道销售', '个人客户']",德佑房地产经纪有限公司第五百七十五分公司,民营 ,10000人以上 
工商评级部分析师,1万-2万,上海-浦东新区,1-3年,硕士,['证券分析'],中证鹏元资信评估股份有限公司,民营 ,300-499人 
cae分析工程师,1.5万-2.5万,上海-浦东新区,3-5年,本科,['CAE'],上海智能制造功能平台有限公司,国企 ,100-299人 
高级生信分析工程师-科研服务,1.3万-1.8万,上海-浦东新区,1-3年,硕士,"['生物信息', '机器学习', '建模预测', '数据挖掘', 'Python', 'R语言', '多组学', 'Linux']",上海吉凯基因医学科技股份有限公司,民营 ,500-999人 
房产销售+底薪10K+线上数据分析,1.1万-1.9万,上海,不限,本科,"['O2O', '房地产', '物业服务', '电销', '面销', '网络销售', '渠道销售', '个人客户']",上海链家地产,民营 ,10000人以上 
商务分析专家,1.5万-3万,上海-静安区,5-10年,本科,"['金融', 'Tableau', '定价', '投标', '英语可作为工作语言', '数学/统计学专业', 'Power-BI']",毕马威华振,外商独资 ,1000-9999人 
高级统计师,4万-6万,上海-长宁区,5-10年,硕士,"['临床数据分析', 'SAS', '生物统计']",全益(上海)人力资源有限公司,民营 ,20-99人 
管培生+底薪8k+数据分析+带薪培训,1.5万-3万,上海-静安区,不限,本科,"['商务谈判', '置业顾问', '二手房销售', '别墅销售', '新房销售', '海外房产销售', '线上渠道', '金融']",德佑房地产经纪有限公司第一千一百九十五分公司,民营 ,10000人以上 
SAP BI开发工程师,1万-1.3万,上海-杨浦区,1-3年,本科,"['报表开发', 'HANA', '数据可视化', 'SAP BO', 'HBase']",上海坤亿信息技术有限公司,民营 ,20-99人 
链家销售底薪8K+线上数据分析,1.1万-1.9万,上海,不限,本科,"['O2O', '房地产', '物业服务', '电销', '面销', '网络销售', '渠道销售', '个人客户']",上海链家地产,民营 ,10000人以上 
临床数据统计师(J13162),1.5万-2万,上海,不限,硕士,"['SAS', '生物统计学']",扬子江药业集团,民营 ,10000人以上 
数据工程主管(J10182),1.5万-2万,上海-虹口区,3-5年,学历不限,"['SQL', 'oracle数据库', '数据挖掘', '数据治理', '数据可视化']",上海锐力健身装备有限公司,合资 ,1000-9999人 
管培生房地产-提供住宿方案-数据分析运营-8K起,8千-1.6万,上海-闵行区,不限,本科,"['学习能力', '互联网', '置业顾问', '数据管理']",上海链家地产,民营 ,10000人以上 
无责底薪8K+线上运营+数据分析,1.5万-2.3万,上海,不限,本科,"['电子商务', '房地产', '网络销售', '店面销售', '面销', '个人客户', 'O2O', '不出差']",上海链家地产,民营 ,10000人以上 
数据分析+线上运营+管理方向+二手房买卖,1万-2万,上海-徐汇区,不限,本科,"['市场方向', '销售方向', '营销方向', '运营方向', '店长方向', '客服方向', '人资方向', '职能方向']",上海链家地产,民营 ,10000人以上 
世纪公园附近+底薪10K+线上运营+数据分析,1.1万-1.9万,上海,不限,本科,"['O2O', '房地产', '物业服务', '电销', '面销', '网络销售', '渠道销售', '个人客户']",上海链家地产,民营 ,10000人以上 
房产销售+底薪10K+线上运营+数据分析,1.1万-1.9万,上海,不限,本科,"['O2O', '房地产', '物业服务', '电销', '面销', '网络销售', '渠道销售', '个人客户']",上海链家地产,民营 ,10000人以上 
无责底薪8K+管理型+线上运营+数据分析,1.5万-2.3万,上海,不限,本科,"['电子商务', '房地产', '网络销售', '店面销售', '面销', '个人客户', 'O2O', '不出差']",上海链家地产,民营 ,10000人以上 
链家无责底薪8K+线上运营+数据分析,1.5万-2.3万,上海,不限,本科,"['房地产', '网络销售', '店面销售', '面销', '个人客户', 'O2O', '渠道销售', '不出差']",上海链家地产,民营 ,10000人以上 
无责底薪8K+销售线上运营+数据分析,1.5万-2.3万,上海,不限,本科,"['电子商务', '房地产', '网络销售', '店面销售', '面销', '个人客户', 'O2O', '不出差']",上海链家地产,民营 ,10000人以上 
500强上市公司 数据分析 运营管理培训生,1.1万-1.8万,上海-静安区,不限,本科,"['线上渠道', '置业顾问', '电话销售', '房屋租赁', '二手房销售', '市场调研', '房产中介', '新房销售']",上海链家地产,民营 ,10000人以上 
无责底薪8K+管理型人才+线上运营+数据分析,1.5万-2.3万,上海,不限,本科,"['电子商务', '房地产', '网络销售', '店面销售', '面销', '个人客户', 'O2O', '不出差']",上海链家地产,民营 ,10000人以上 
线上作业+互联网进客+数据化分析+薪资保障,8千-1.6万,上海-青浦区,不限,本科,"['房屋租赁', '二手房销售', '新房销售', '面销', '渠道销售', '网络销售', '电话销售', '店面销售']",上海链家地产,民营 ,10000人以上 
统计经理(J10168),2万-3万,上海-浦东新区,5-10年,硕士,"['生物统计学', 'SAS', '英语']",上海艾力斯医药科技股份有限公司,上市公司 ,300-499人 
私域流量/数据分析师,1.2万-1.8万,上海-嘉定区,1-3年,大专,"['需求分析', '数据挖掘', '数据采集', '行业分析', '数据建模']",尚芸诗数字传媒科技(上海)有限公司,合资 ,20-99人 
大数据开发工程师,2万-3万,上海-浦东新区,5-10年,本科,"['ETL', 'Hive', '数据架构', '数据分析', '数据库', '数据仓库']",钰真(上海)信息技术有限公司,民营 ,500-999人 
Azure平台数据开发,2万-3万,上海-静安区,3-5年,本科,"['SQL', 'Azure', '数据分析', '数据开发']",上海启羿信息科技有限公司,民营 ,20-99人 
临床数据管理专员,1.3万-2.5万,上海-徐汇区,1-3年,本科,"['CRF设计', 'DM', '数据管理']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 
数据项目管理工程师（大数据）,8千-1.6万,上海,3-5年,本科,"['数据分析', '数据清洗', 'Python', 'SQL', '数据建模', '模型设计']",上海挚飞信息科技有限公司,民营 ,20-99人 
产品数据工程师,6千-1.2万,上海-松江区,1-3年,本科,"['数据挖掘', '需求分析', '数据采集', '数据建模']",龙工机械制造,上市公司 ,1000-9999人 
财务数据分析师,1万-1.5万,上海-徐汇区,1-3年,本科,"['office', '财务预算', '经营分析', '收益分析', '财务体系', '财务报告']",深圳市杰讯互联科技有限公司,民营 ,100-299人 
市场调研员,1万-1.5万,上海-闵行区,1-3年,本科,"['行业研究', '竞品分析', '用户调研', '市场信息收集']",云南白药集团股份有限公司,股份制企业 ,1000-9999人 
500强上市名企 数据分析 运营管理 解决方案提供者,1.2万-1.8万,上海-宝山区,不限,本科,"['O2O', '投资/理财', '广告行业', '房地产', '电子商务', '教育培训', '华东', '不出差']",上海链家地产,民营 ,10000人以上 
市场营销，线上运营+VR科技，数据分析+8K起+提成,8千-1.5万,上海-闵行区,不限,本科,"['电子商务', '物联网', '贷款行业', '房地产', '物业服务', '互联网金融', '投资/理财', '教育培训']",德佑房地产经纪有限公司第五百七十五分公司,民营 ,10000人以上 
bi专家,2万-3万,上海-浦东新区,无经验,本科,"['行业分析', 'Python', 'SQL', '商业分析', '需求分析', '数据采集']",重庆得盟企业管理咨询有限公司,民营 ,20-99人 
上海-数据分析师,1.2万-2万,上海-浦东新区,3-5年,本科,"['Hadoop', 'Kafka', 'Python', 'SQL', 'Shell', '参数检验', 'ROC分析', 'Zookeeper']",北京华路时代信息技术有限公司,民营 ,500-999人 
大数据开发工程师,1.1万-2万,上海-浦东新区,3-5年,大专,"['数据库开发', 'Hadoop', 'SQL', 'Java', 'Spark', '大数据开发', 'Python', 'Tableau']",深圳市拓保软件有限公司,民营 ,1000-9999人 
大数据开发工程师,1万-2万,上海-长宁区,3-5年,本科,"['数据仓库', '数据中台', '数据分析', 'ETL', 'Hadoop', '数仓开发', 'SQL', '上海互联网公司工作经验']",天合光能集团,外商独资 ,10000人以上 
临床数据管理主管/经理(DM),2.2万-3.5万,上海-徐汇区,5-10年,本科,"['临床试验', '临床数据分析']",长春金赛药业有限责任公司,上市公司 ,1000-9999人 
亚马逊产品分析市场调研,8千-1万,上海,1-3年,大专,"['行业分析', '商业分析', '数据采集', '产品调研', '亚马逊市场分析', '产品开发']",上海元雀信息科技有限公司,民营 ,20-99人 
数据分析师,面议,上海-浦东新区,1-3年,本科,"['数据分析', 'MATLAB', 'Python', '传感器数据分析', '点云和图表分析', '视频帧比对', 'Matlab']",中软国际,上市公司 ,10000人以上 
医学总监,4万-7万,上海-浦东新区,3-5年,硕士,"['医学', '方案撰写', '摘要']",北京上予医药科技有限公司,民营 ,20-99人 
渠道运营（闵行区分公司）,1万-1.5万,上海-闵行区,1-3年,本科,['渠道运营'],中国联通上海分公司,国企 ,1000-9999人 
目标及预算管理,1.7万-2.8万,上海-嘉定区,3-5年,本科,"['汽车', '目标', '预算', '数学/统计学专业', '平台类产品', '项目型产品']",中科创达软件股份有限公司,合资 ,1000-9999人 
数据治理-正编 早九晚六 银行系,1.5万-2.5万,上海-黄浦区,3-5年,本科,['数据治理'],深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
ABS承做,1.5万-2万,上海,1-3年,本科,"['ABS', '承做', '数据分析', '资产证券化']",利得基金,民营 ,500-999人 
"Manager, Data and Analytics ID113639",面议,上海-浦东新区,5-10年,本科,['银行公司业务'],汇丰银行（中国）有限公司,外商独资 ,1000-9999人 
Clinical Data Manager(J24526),面议,上海-浦东新区,不限,本科,"['CRF设计', '数据挖掘']",辉瑞制药有限公司(Pfizer Pharmaceuticals Limited),外商独资 ,1000-9999人 
BI开发工程师,1.1万-1.3万,上海-浦东新区,1-3年,本科,"['数据挖掘', '数据采集', '报表开发', 'Oracle', 'JS', 'HTML', 'FineBI']",上海坤亿信息技术有限公司,民营 ,20-99人 
统计师 (MJ000028),2万-3万,上海-徐汇区,不限,硕士,"['流行病学', 'SAS']",零氪信息技术(北京)有限公司,民营 ,1000-9999人 
数据分析经理,1万-1.2万,上海,3-5年,本科,"['行业分析', '大数据分析']",上海淡然资产管理有限公司,民营 ,20人以下 
高级数据管理员/数据经理（新药）,1.4万-2.1万,上海-浦东新区,5-10年,本科,"['生物统计学', '数据建模', '药物研究', 'SPSS', '药物临床', '数据库构建', '生物医疗', '数据管理']",苏州韬略生物科技股份有限公司,股份制企业 ,20-99人 
临床试验SAS程序员(homebase),1.2万-2.2万,上海-静安区,1-3年,本科,"['SAS', 'SQL', 'R语言', 'CDISC']",外企德科,合资 ,1000-9999人 
高级统计经理/统计经理,2.5万-4万,上海-徐汇区,3-5年,硕士,"['生物统计学', '医学', 'SAS', 'SPSS']",长春金赛药业有限责任公司,上市公司 ,1000-9999人 
大数据开发,1.6万-2.1万,上海-浦东新区,3-5年,大专,"['大数据开发', '数据仓库', 'Hadoop', 'Hbase', 'BI', '数据建模', 'SQL', 'Python']",深圳新思,上市公司 ,1000-9999人 
统计师/高级统计师,9千-1.5万,上海-长宁区,不限,硕士,"['SAS', '流行病学', '生物统计学', 'R语言', '英语']",诺思格(北京)医药科技股份有限公司,合资 ,1000-9999人 
数据BI分析师,3.5万-5.5万,上海-长宁区,5-10年,本科,"['SQL', 'Hive', 'Python', 'R']",安拓奥古(北京)人力资源服务有限公司,合资 ,300-499人 
三维数据分析工程师,7千-1.2万,上海,不限,大专,"['图像检测', '图像处理', '图像分析', '数据分析']",上海恩迪检测控制技术有限公司,民营 ,20-99人 
大数据/自动化开发工程师,1.8万-3.5万,上海-浦东新区,1-3年,本科,"['Java', 'Python', '大数据', '自动化']",外企德科,合资 ,1000-9999人 
大数据开发工程师,1.8万-3.5万,上海-浦东新区,1-3年,本科,"['Java', 'Python', '大数据', 'AI']",外企德科,合资 ,1000-9999人 
目标管理岗（营销中心）,1万-1.8万,上海-徐汇区,1-3年,本科,"['数据分析', '数据治理', 'BI', 'SQL', '商业数据分析', '运营数据分析', '销售数据分析']",济民可信,民营 ,10000人以上 
互联网房产经纪人➕8k-12k【保障底薪】,8千-1.3万,上海,不限,本科,['需求分析'],上海链家地产,民营 ,10000人以上 
数据开发工程师 Junior Developer,1.6万-2.5万,上海-静安区,1-3年,本科,"['Python', 'Shell', 'SQL']",德确企业管理咨询(上海)有限公司,外商独资 ,20-99人 
BI开发工程师（外企，英语）,1.1万-1.2万,上海-浦东新区,1-3年,本科,"['SQL', 'Power BI', 'FineBI']",上海坤亿信息技术有限公司,民营 ,20-99人 
上海-数据分析师,1.2万-2万,上海-浦东新区,3-5年,本科,"['Hadoop', 'Kafka', 'Python', 'SQL', 'Shell', '参数检验', 'ROC分析', 'Zookeeper']",北京华路时代信息技术有限公司,民营 ,500-999人 
大数据开发工程师,1.1万-1.8万,上海-浦东新区,1-3年,大专,"['大数据开发', '数据仓库', '数据集市', '模型设计']",深圳市睿服科技有限公司,股份制企业 ,1000-9999人 
