职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
数据分析岗,8千-1.2万,上海-浦东新区,1年以下,本科,['数据分析'],中联惠捷信息技术有限公司,民营 ,500-999人 
数据分析专员,8千-1万,上海-徐汇区,1-3年,本科,['临床数据分析'],上海海天医药科技开发有限公司,上市公司 ,1000-9999人 
数据分析助理,7千-9千,上海-静安区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
销售数据分析,8千-1万,上海,3-5年,大专,"['Tableau', '批发/零售']",旺旺集团,上市公司 ,10000人以上 
数据分析助理,6千-8千,上海-浦东新区,1-3年,大专,"['数据分析', '数据治理', '数据仓库', '大数据平台', '数据架构']",深圳市千凌源科技有限公司,民营 ,100-299人 
数据分析专员,6千-8千,上海-长宁区,1-3年,大专,"['SQL', '相关分析', '描述统计']",科锐尔人力资源服务(苏州)有限公司,上市公司 ,1000-9999人 
数据分析师,6千-1万,上海-长宁区,1-3年,大专,"['PPT', 'Excel']",上海比滋特信息技术有限公司,民营 ,20-99人 
数据分析专员,8千-1.1万,上海-静安区,不限,大专,"['SPSS', 'EXC;E']",上海埃帕信息科技有限公司,民营 ,100-299人 
数据分析师,8千-1.2万,上海-徐汇区,不限,本科,"['Java', 'Shell', 'SQL', 'Scala', '回归分析', '决策树', '方差分析', '因子分析']",上海链家地产,民营 ,10000人以上 
数据分析岗,8千-1.2万,上海-浦东新区,1年以下,本科,"['数据分析', '数据集市', '需求分析', 'SQL', '金融数据分析', '销售数据分析', '经营数据分析', '市场数据分析']",中联惠捷信息技术有限公司,民营 ,500-999人 
市场数据分析,8千-1万,上海-长宁区,1-3年,本科,"['市场营销', '数据统计分析']",上海微盼智能科技有限公司,合资 ,100-299人 
数据分析师,6千-8千,上海-静安区,不限,大专,"['数据分析', 'SQL', 'Python', '大数据分析', '需求分析', 'MySQL', '爬虫', '函数']",上海陶术生物科技有限公司,民营 ,100-299人 
数据分析师,1万-2万,上海-浦东新区,3-5年,本科,"['数据分析', 'BI', 'SQL', 'Python', 'Tableau', 'Power BI', '经营数据分析', '运营数据分析']",上海祥承通讯技术有限公司,民营 ,300-499人 
数据分析师,7千-9千,上海-普陀区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
数据分析师,8千-1万,上海,1年以下,本科,['数据分析'],上海科霏智能科技有限公司,合资 ,100-299人 
外卖数据分析,8千-1万,上海-闵行区,3-5年,大专,['数据分析'],上海榕赢品牌管理有限公司,民营 ,300-499人 
销售数据分析,6千-1万,上海-奉贤区,3-5年,大专,"['统计学', '数据分析', '销售业务数据', 'SQL']",上海雪榕生物科技股份有限公司,上市公司 ,1000-9999人 
销售数据分析,1万-1.2万,上海-静安区,1-3年,本科,"['英语可作为工作语言', 'EXCEL熟练']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
数据分析师,8千-1万,上海-浦东新区,1-3年,大专,"['数据分析', '大数据分析']",上海菁淇信息科技有限公司,合资 ,100-299人 
