iter	Passed	Remaining
407	5886	8541
408	5899	8524
409	5911	8506
410	5929	8496
411	5941	8480
412	5953	8462
413	5964	8443
414	5975	8422
415	5989	8407
416	6004	8394
417	6017	8378
418	6027	8358
419	6042	8344
420	6055	8328
421	6067	8310
422	6083	8298
423	6102	8290
424	6118	8277
425	6131	8261
426	6143	8244
427	6166	8241
428	6180	8226
429	6195	8213
430	6222	8215
431	6240	8205
432	6263	8201
433	6276	8185
434	6290	8170
435	6304	8154
436	6317	8138
437	6329	8121
438	6341	8103
439	6354	8087
440	6367	8071
441	6382	8057
442	6392	8037
443	6403	8019
444	6414	8000
445	6426	7982
446	6436	7962
447	6446	7943
448	6457	7924
449	6473	7911
450	6488	7897
451	6501	7882
452	6514	7866
453	6531	7854
454	6547	7842
455	6559	7825
456	6571	7807
457	6581	7789
458	6594	7772
459	6607	7756
460	6621	7741
461	6633	7724
462	6647	7710
463	6660	7694
464	6674	7679
465	6685	7661
466	6698	7645
467	6712	7630
468	6726	7616
469	6743	7603
470	6761	7593
471	6777	7581
472	6802	7579
473	6821	7569
474	6832	7551
475	6842	7533
476	6859	7520
477	6877	7510
478	6890	7495
479	6906	7482
480	6917	7463
481	6930	7447
482	6944	7433
483	6958	7418
484	6974	7405
485	6988	7390
486	7006	7380
487	7026	7371
488	7036	7353
489	7047	7334
490	7060	7319
491	7078	7308
492	7092	7294
493	7104	7276
494	7119	7262
495	7133	7248
496	7159	7245
497	7177	7235
498	7192	7221
499	7208	7208
500	7223	7194
501	7237	7179
502	7248	7162
503	7262	7147
504	7271	7127
505	7282	7109
506	7298	7097
507	7312	7082
508	7334	7074
509	7348	7059
510	7359	7042
511	7376	7030
512	7401	7026
513	7417	7012
514	7427	6995
515	7440	6979
516	7455	6965
517	7466	6947
518	7477	6929
519	7490	6914
520	7505	6900
521	7519	6885
522	7529	6867
523	7542	6851
524	7555	6836
525	7568	6819
526	7579	6802
527	7594	6789
528	7608	6774
529	7624	6760
530	7636	6744
531	7647	6727
532	7658	6710
533	7673	6696
534	7687	6681
535	7701	6666
536	7714	6651
537	7731	6638
538	7750	6629
539	7763	6613
540	7782	6602
541	7794	6586
542	7808	6571
543	7818	6553
544	7831	6538
545	7842	6520
546	7857	6506
547	7870	6491
548	7882	6475
549	7896	6460
550	7908	6444
551	7922	6430
552	7935	6414
553	7950	6400
554	7965	6387
555	7983	6375
556	7994	6358
557	8007	6342
558	8022	6329
559	8044	6320
560	8057	6305
